Earthquake,Clr 8; Destruction 8; Drd 8; Earth 7, Evocation/Fire/Earth/Water/Void/Spirit, Earth, V S DF, 1 standard action, 1 round, Long (400 ft. + 40 ft./level), See text, No, Intense tremor shakes 5-ft./level radius.
Fog Cloud,Drd 2; Sor/Wiz 2; Water 2, Conjuration/Water/Spirit, , V S, 1 standard action, 10 min./level, Medium (100 ft. + 10 ft. level), None, No, Fog obscures vision.
Detect Animals or Plants,Drd 1; Rgr 1, Divination/Water/Air/Earth/Spirit, , V S, 1 standard action, Concentration up to 10 min./level (D), Long (400 ft. + 40 ft./level), None, No, Detects kinds of animals or plants.
Animal Messenger,Brd 2; Drd 2; Rgr 1, Enchantment/Air/Water/Spirit, Mind-Affecting, V S M, 1 standard action, One day/level, Close (25 ft. + 5 ft./2 levels), None; see text, Yes, Sends a Tiny animal to a specific place.
Telepathic Bond,Sor/Wiz 5, Divination/Water/Spirit, , V S M, 1 standard action, 10 min./level (D), Close (25 ft. + 5 ft./2 levels), None, No, Link lets allies communicate.
Pass without Trace,Asn 2; Drd 1; Rgr 1, Transmutation/Water, , V S DF, 1 standard action, 1 hour/level (D), Touch, Will negates (harmless), Yes (harmless), One subject/level leaves no tracks.
Clenched Fist,Sor/Wiz 8; Strength 8, Evocation/Fire/Air/Earth/Water, Force, V S F/DF, , , , , , Large hand provides cover; pushes; orsattacks your foes.
Darkvision,Rgr 3; Sor/Wiz 2, Transmutation/Water/Void, , V S M, 1 standard action, 1 hour/level, Touch, Will negates (harmless), Yes (harmless), See 60 ft. in total darkness.
Speak with Animals,Brd 3; Drd 1; Rgr 1, Divination/Water/Fire/Spirit, , V S, 1 standard action, 1 min./level, Personal, , , You can communicate with animals.
Contact Other Plane,Sor/Wiz 5, Divination/Water/Void/Fire/Spirit, , V, 10 minutes, Concentration, Personal, , , Lets you ask question of extraplanar entity.
Freezing Sphere,Sor/Wiz 6, Evocation/Fire/Water/Air/Earth/Spirit, Cold, V S F, 1 standard action, Instantaneous or 1 round/level; see text, Long (400 ft. + 40 ft./level), Reflex half; see text, Yes, Freezes water or deals cold damage.
Move Earth,Drd 6; Sor/Wiz 6, Transmutation/Earth/Water/Spirit, Earth, V S M, See text, Instantaneous, Long (400 ft. + 40 ft./level), None, No, Digs trenches and build hills.
Tree Shape,Drd 2; Rgr 3, Transmutation/Water/Air/Spirit, , V S DF, 1 standard action, 1 hour/level (D), Personal, , , You look exactly like a tree for 1 hour/level.
